czone,weight_type,receives_unavailable_source,n_1990_counties_receiving_unavailable_source,n_unavailable_source_counties,unavailable_source_vote_mass_proxy,total_received_vote_mass_proxy,share_received_from_unavailable_sources
100,m2_weight,FALSE,0,0,0,4879391.80230404,0
100,m4_weight,FALSE,0,0,0,4879391.80230404,0
100,m5_weight,FALSE,0,0,0,4879391.80230404,0
100,m6_weight,FALSE,0,0,0,4879391.80230404,0
200,m2_weight,FALSE,0,0,0,1709860.7226180043,0
200,m4_weight,FALSE,0,0,0,1709860.7226180043,0
200,m5_weight,FALSE,0,0,0,1709860.7226180043,0
200,m6_weight,FALSE,0,0,0,1709860.7226180043,0
301,m2_weight,FALSE,0,0,0,450820.6365663902,0
301,m4_weight,FALSE,0,0,0,450820.6365663902,0
301,m5_weight,FALSE,0,0,0,450820.6365663902,0
301,m6_weight,FALSE,0,0,0,450820.6365663902,0
302,m2_weight,FALSE,0,0,0,12801297.859943211,0
302,m4_weight,FALSE,0,0,0,12801297.859943211,0
302,m5_weight,FALSE,0,0,0,12801297.859943211,0
302,m6_weight,FALSE,0,0,0,12801297.859943211,0
401,m2_weight,FALSE,0,0,0,3462227.5828310647,0
401,m4_weight,FALSE,0,0,0,3462227.5828310647,0
401,m5_weight,FALSE,0,0,0,3462227.5828310647,0
401,m6_weight,FALSE,0,0,0,3462227.5828310647,0
402,m2_weight,FALSE,0,0,0,436813.6765698339,0
402,m4_weight,FALSE,0,0,0,436813.6765698339,0
402,m5_weight,FALSE,0,0,0,436813.6765698339,0
402,m6_weight,FALSE,0,0,0,436813.6765698339,0
500,m2_weight,FALSE,0,0,0,7187150.986206042,0
500,m4_weight,FALSE,0,0,0,7187150.986206042,0
500,m5_weight,FALSE,0,0,0,7187150.986206042,0
500,m6_weight,FALSE,0,0,0,7187150.986206042,0
601,m2_weight,FALSE,0,0,0,1815232.433078411,0
601,m4_weight,FALSE,0,0,0,1815232.433078411,0
601,m5_weight,FALSE,0,0,0,1815232.433078411,0
601,m6_weight,FALSE,0,0,0,1815232.433078411,0
602,m2_weight,FALSE,0,0,0,411421.86471389094,0
602,m4_weight,FALSE,0,0,0,411421.86471389094,0
602,m5_weight,FALSE,0,0,0,411421.86471389094,0
602,m6_weight,FALSE,0,0,0,411421.86471389094,0
700,m2_weight,FALSE,0,0,0,1988215.5017141502,0
700,m4_weight,FALSE,0,0,0,1988215.5017141502,0
700,m5_weight,FALSE,0,0,0,1988215.5017141502,0
700,m6_weight,FALSE,0,0,0,1988215.5017141502,0
800,m2_weight,FALSE,0,0,0,2820267.9983298643,0
800,m4_weight,FALSE,0,0,0,2820267.9983298643,0
800,m5_weight,FALSE,0,0,0,2820267.9983298643,0
800,m6_weight,FALSE,0,0,0,2820267.9983298643,0
900,m2_weight,FALSE,0,0,0,11660958.300814312,0
900,m4_weight,FALSE,0,0,0,11660958.300814312,0
900,m5_weight,FALSE,0,0,0,11660958.300814312,0
900,m6_weight,FALSE,0,0,0,11660958.300814312,0
1001,m2_weight,FALSE,0,0,0,1019502.2068460716,0
1001,m4_weight,FALSE,0,0,0,1019502.2068460716,0
1001,m5_weight,FALSE,0,0,0,1019502.2068460716,0
1001,m6_weight,FALSE,0,0,0,1019502.2068460716,0
1002,m2_weight,FALSE,0,0,0,1258384.1661185813,0
1002,m4_weight,FALSE,0,0,0,1258384.1661185813,0
1002,m5_weight,FALSE,0,0,0,1258384.1661185813,0
1002,m6_weight,FALSE,0,0,0,1258384.1661185813,0
1100,m2_weight,FALSE,0,0,0,4368832.7929400755,0
1100,m4_weight,FALSE,0,0,0,4368832.7929400755,0
1100,m5_weight,FALSE,0,0,0,4368832.7929400755,0
1100,m6_weight,FALSE,0,0,0,4368832.7929400755,0
1201,m2_weight,FALSE,0,0,0,275652.3208108194,0
1201,m4_weight,FALSE,0,0,0,275652.3208108194,0
1201,m5_weight,FALSE,0,0,0,275652.3208108194,0
1201,m6_weight,FALSE,0,0,0,275652.3208108194,0
1202,m2_weight,FALSE,0,0,0,636452.240962762,0
1202,m4_weight,FALSE,0,0,0,636452.240962762,0
1202,m5_weight,FALSE,0,0,0,636452.240962762,0
1202,m6_weight,FALSE,0,0,0,636452.240962762,0
1203,m2_weight,FALSE,0,0,0,7665059.167883791,0
1203,m4_weight,FALSE,0,0,0,7665059.167883791,0
1203,m5_weight,FALSE,0,0,0,7665059.167883791,0
1203,m6_weight,FALSE,0,0,0,7665059.167883791,0
1204,m2_weight,FALSE,0,0,0,457987.5821687143,0
1204,m4_weight,FALSE,0,0,0,457987.5821687143,0
1204,m5_weight,FALSE,0,0,0,457987.5821687143,0
1204,m6_weight,FALSE,0,0,0,457987.5821687143,0
1301,m2_weight,FALSE,0,0,0,363475.685073951,0
1301,m4_weight,FALSE,0,0,0,363475.685073951,0
1301,m5_weight,FALSE,0,0,0,363475.685073951,0
1301,m6_weight,FALSE,0,0,0,363475.685073951,0
1302,m2_weight,FALSE,0,0,0,5845196.799723819,0
1302,m4_weight,FALSE,0,0,0,5845196.799723819,0
1302,m5_weight,FALSE,0,0,0,5845196.799723819,0
1302,m6_weight,FALSE,0,0,0,5845196.799723819,0
1400,m2_weight,FALSE,0,0,0,2610230.689474758,0
1400,m4_weight,FALSE,0,0,0,2610230.689474758,0
1400,m5_weight,FALSE,0,0,0,2610230.689474758,0
1400,m6_weight,FALSE,0,0,0,2610230.689474758,0
1500,m2_weight,FALSE,0,0,0,2323836.9940620055,0
1500,m4_weight,FALSE,0,0,0,2323836.9940620055,0
1500,m5_weight,FALSE,0,0,0,2323836.9940620055,0
1500,m6_weight,FALSE,0,0,0,2323836.9940620055,0
1600,m2_weight,FALSE,0,0,0,2570864.7979052276,0
1600,m4_weight,FALSE,0,0,0,2570864.7979052276,0
1600,m5_weight,FALSE,0,0,0,2570864.7979052276,0
1600,m6_weight,FALSE,0,0,0,2570864.7979052276,0
1701,m2_weight,FALSE,0,0,0,16369215.153373346,0
1701,m4_weight,FALSE,0,0,0,16369215.153373346,0
1701,m5_weight,FALSE,0,0,0,16369215.153373346,0
1701,m6_weight,FALSE,0,0,0,16369215.153373346,0
1702,m2_weight,FALSE,0,0,0,438820.9775289023,0
1702,m4_weight,FALSE,0,0,0,438820.9775289023,0
1702,m5_weight,FALSE,0,0,0,438820.9775289023,0
1702,m6_weight,FALSE,0,0,0,438820.9775289023,0
1800,m2_weight,FALSE,0,0,0,1625350.751411552,0
1800,m4_weight,FALSE,0,0,0,1625350.751411552,0
1800,m5_weight,FALSE,0,0,0,1625350.751411552,0
1800,m6_weight,FALSE,0,0,0,1625350.751411552,0
1900,m2_weight,FALSE,0,0,0,3758590.7629447575,0
1900,m4_weight,FALSE,0,0,0,3758590.7629447575,0
1900,m5_weight,FALSE,0,0,0,3758590.7629447575,0
