county_fips_1990,weight_type,receives_unavailable_source,n_unavailable_source_counties,unavailable_source_vote_mass_proxy,total_received_vote_mass_proxy,share_received_from_unavailable_sources,czone
01001,m2_weight,FALSE,0,0,427348,0,11101
01001,m4_weight,FALSE,0,0,427348,0,11101
01001,m5_weight,FALSE,0,0,427348,0,11101
01001,m6_weight,FALSE,0,0,427348,0,11101
01003,m2_weight,FALSE,0,0,1529391.36953848,0,11001
01003,m4_weight,FALSE,0,0,1529391.36953848,0,11001
01003,m5_weight,FALSE,0,0,1529391.36953848,0,11001
01003,m6_weight,FALSE,0,0,1529391.36953848,0,11001
01005,m2_weight,FALSE,0,0,639835,0,10301
01005,m4_weight,FALSE,0,0,639835,0,10301
01005,m5_weight,FALSE,0,0,639835,0,10301
01005,m6_weight,FALSE,0,0,639835,0,10301
01007,m2_weight,FALSE,0,0,205553,0,10801
01007,m4_weight,FALSE,0,0,205553,0,10801
01007,m5_weight,FALSE,0,0,205553,0,10801
01007,m6_weight,FALSE,0,0,205553,0,10801
01009,m2_weight,FALSE,0,0,580723,0,10700
01009,m4_weight,FALSE,0,0,580723,0,10700
01009,m5_weight,FALSE,0,0,580723,0,10700
01009,m6_weight,FALSE,0,0,580723,0,10700
01011,m2_weight,FALSE,0,0,236425.17717562226,0,9800
01011,m4_weight,FALSE,0,0,236425.17717562226,0,9800
01011,m5_weight,FALSE,0,0,236425.17717562226,0,9800
01011,m6_weight,FALSE,0,0,236425.17717562226,0,9800
01013,m2_weight,FALSE,0,0,449812,0,11101
01013,m4_weight,FALSE,0,0,449812,0,11101
01013,m5_weight,FALSE,0,0,449812,0,11101
01013,m6_weight,FALSE,0,0,449812,0,11101
01015,m2_weight,FALSE,0,0,1682230,0,9600
01015,m4_weight,FALSE,0,0,1682230,0,9600
01015,m5_weight,FALSE,0,0,1682230,0,9600
01015,m6_weight,FALSE,0,0,1682230,0,9600
01017,m2_weight,FALSE,0,0,359444,0,9600
01017,m4_weight,FALSE,0,0,359444,0,9600
01017,m5_weight,FALSE,0,0,359444,0,9600
01017,m6_weight,FALSE,0,0,359444,0,9600
01019,m2_weight,FALSE,0,0,246773,0,6600
01019,m4_weight,FALSE,0,0,246773,0,6600
01019,m5_weight,FALSE,0,0,246773,0,6600
01019,m6_weight,FALSE,0,0,246773,0,6600
01021,m2_weight,FALSE,0,0,350953,0,10700
01021,m4_weight,FALSE,0,0,350953,0,10700
01021,m5_weight,FALSE,0,0,350953,0,10700
01021,m6_weight,FALSE,0,0,350953,0,10700
01023,m2_weight,FALSE,0,0,362964,0,10802
01023,m4_weight,FALSE,0,0,362964,0,10802
01023,m5_weight,FALSE,0,0,362964,0,10802
01023,m6_weight,FALSE,0,0,362964,0,10802
01025,m2_weight,FALSE,0,0,662912,0,11001
01025,m4_weight,FALSE,0,0,662912,0,11001
01025,m5_weight,FALSE,0,0,662912,0,11001
01025,m6_weight,FALSE,0,0,662912,0,11001
01027,m2_weight,FALSE,0,0,309396,0,9500
01027,m4_weight,FALSE,0,0,309396,0,9500
01027,m5_weight,FALSE,0,0,309396,0,9500
01027,m6_weight,FALSE,0,0,309396,0,9500
01029,m2_weight,FALSE,0,0,269090,0,9600
01029,m4_weight,FALSE,0,0,269090,0,9600
01029,m5_weight,FALSE,0,0,269090,0,9600
01029,m6_weight,FALSE,0,0,269090,0,9600
01031,m2_weight,FALSE,0,0,903650,0,10302
01031,m4_weight,FALSE,0,0,903650,0,10302
01031,m5_weight,FALSE,0,0,903650,0,10302
01031,m6_weight,FALSE,0,0,903650,0,10302
01033,m2_weight,FALSE,0,0,359418.9070136223,0,6200
01033,m4_weight,FALSE,0,0,359418.9070136223,0,6200
01033,m5_weight,FALSE,0,0,359418.9070136223,0,6200
01033,m6_weight,FALSE,0,0,359418.9070136223,0,6200
01035,m2_weight,FALSE,0,0,404528.967429,0,11002
01035,m4_weight,FALSE,0,0,404528.967429,0,11002
01035,m5_weight,FALSE,0,0,404528.967429,0,11002
01035,m6_weight,FALSE,0,0,404528.967429,0,11002
01037,m2_weight,FALSE,0,0,191488.422658842,0,9500
01037,m4_weight,FALSE,0,0,191488.422658842,0,9500
01037,m5_weight,FALSE,0,0,191488.422658842,0,9500
01037,m6_weight,FALSE,0,0,191488.422658842,0,9500
01039,m2_weight,FALSE,0,0,786807.0444208306,0,11102
01039,m4_weight,FALSE,0,0,786807.0444208306,0,11102
01039,m5_weight,FALSE,0,0,786807.0444208306,0,11102
01039,m6_weight,FALSE,0,0,786807.0444208306,0,11102
01041,m2_weight,FALSE,0,0,272358.02036840003,0,11102
01041,m4_weight,FALSE,0,0,272358.02036840003,0,11102
01041,m5_weight,FALSE,0,0,272358.02036840003,0,11102
01041,m6_weight,FALSE,0,0,272358.02036840003,0,11102
01043,m2_weight,FALSE,0,0,858800,0,10700
01043,m4_weight,FALSE,0,0,858800,0,10700
01043,m5_weight,FALSE,0,0,858800,0,10700
01043,m6_weight,FALSE,0,0,858800,0,10700
01045,m2_weight,FALSE,0,0,779036,0,10302
01045,m4_weight,FALSE,0,0,779036,0,10302
01045,m5_weight,FALSE,0,0,779036,0,10302
01045,m6_weight,FALSE,0,0,779036,0,10302
01047,m2_weight,FALSE,0,0,692419.1201059639,0,10801
01047,m4_weight,FALSE,0,0,692419.1201059639,0,10801
01047,m5_weight,FALSE,0,0,692419.1201059639,0,10801
01047,m6_weight,FALSE,0,0,692419.1201059639,0,10801
01049,m2_weight,FALSE,0,0,865479.88889055,0,6100
01049,m4_weight,FALSE,0,0,865479.88889055,0,6100
01049,m5_weight,FALSE,0,0,865479.88889055,0,6100
01049,m6_weight,FALSE,0,0,865479.88889055,0,6100
01051,m2_weight,FALSE,0,0,1201984,0,11101
01051,m4_weight,FALSE,0,0,1201984,0,11101
01051,m5_weight,FALSE,0,0,1201984,0,11101
01051,m6_weight,FALSE,0,0,1201984,0,11101
01053,m2_weight,FALSE,0,0,386754.81999245,0,11002
01053,m4_weight,FALSE,0,0,386754.81999245,0,11002
01053,m5_weight,FALSE,0,0,386754.81999245,0,11002
01053,m6_weight,FALSE,0,0,386754.81999245,0,11002
01055,m2_weight,FALSE,0,0,1070956.7039228852,0,6100
01055,m4_weight,FALSE,0,0,1070956.7039228852,0,6100
01055,m5_weight,FALSE,0,0,1070956.7039228852,0,6100
01055,m6_weight,FALSE,0,0,1070956.7039228852,0,6100
01057,m2_weight,FALSE,0,0,332509,0,10600
01057,m4_weight,FALSE,0,0,332509,0,10600
01057,m5_weight,FALSE,0,0,332509,0,10600
01057,m6_weight,FALSE,0,0,332509,0,10600
01059,m2_weight,FALSE,0,0,257688,0,6200
01059,m4_weight,FALSE,0,0,257688,0,6200
01059,m5_weight,FALSE,0,0,257688,0,6200
01059,m6_weight,FALSE,0,0,257688,0,6200
01061,m2_weight,FALSE,0,0,268903.57211584,0,10302
01061,m4_weight,FALSE,0,0,268903.57211584,0,10302
01061,m5_weight,FALSE,0,0,268903.57211584,0,10302
