year,state_fips,state,scope,rep_votes,dem_votes,twoparty_votes,total_votes,source_counties
1952,01,AL,pre_bridge,149231,275075,424306,426120,67
1952,04,AZ,pre_bridge,152042,108528,260570,260570,14
1952,05,AR,pre_bridge,177155,226300,403455,404800,75
1952,06,CA,pre_bridge,2897310,2197548,5094858,5143228,58
1952,08,CO,pre_bridge,379782,245504,625286,630103,63
1952,09,CT,pre_bridge,611012,481649,1092661,1096906,8
1952,10,DE,pre_bridge,90059,69766,159825,160476,3
1952,12,FL,pre_bridge,544036,444950,988986,988986,67
1952,13,GA,pre_bridge,198961,456823,655784,655785,159
1952,16,ID,pre_bridge,180707,95081,275788,276254,44
1952,17,IL,pre_bridge,2457327,2013920,4471247,4481058,102
1952,18,IN,pre_bridge,1136259,801530,1937789,1955325,92
1952,19,IA,pre_bridge,808906,451513,1260419,1268744,99
1952,20,KS,pre_bridge,616302,273296,889598,896166,105
1952,21,KY,pre_bridge,495029,495729,990758,993148,120
1952,22,LA,pre_bridge,306925,345027,651952,651952,64
1952,23,ME,pre_bridge,232353,118806,351159,351159,16
1952,24,MD,pre_bridge,499424,395337,894761,902074,24
1952,25,MA,pre_bridge,1292325,1083525,2375850,2383398,14
1952,26,MI,pre_bridge,1551529,1230657,2782186,2798592,83
1952,27,MN,pre_bridge,763211,608458,1371669,1379483,87
1952,28,MS,pre_bridge,112966,172836,285802,285802,82
1952,29,MO,pre_bridge,959429,929830,1889259,2104138,115
1952,30,MT,pre_bridge,157394,106213,263607,265037,56
1952,31,NE,pre_bridge,421603,188057,609660,609660,93
1952,32,NV,pre_bridge,50502,31688,82190,82190,17
1952,33,NH,pre_bridge,166287,106663,272950,272950,10
1952,34,NJ,pre_bridge,1373613,1015902,2389515,2418554,21
1952,35,NM,pre_bridge,132645,105404,238049,238049,32
1952,36,NY,pre_bridge,3952815,2687890,6640705,7128241,62
1952,37,NC,pre_bridge,558107,652803,1210910,1210910,100
1952,38,ND,pre_bridge,191712,76694,268406,270127,53
1952,39,OH,pre_bridge,2100391,1600367,3700758,3700758,88
1952,40,OK,pre_bridge,518045,430939,948984,948984,77
1952,41,OR,pre_bridge,420815,270579,691394,695059,36
1952,42,PA,pre_bridge,2415789,2146269,4562058,4580969,67
1952,44,RI,pre_bridge,210935,203293,414228,414498,5
1952,45,SC,pre_bridge,9793,172957,182750,341001,46
1952,46,SD,pre_bridge,203857,90426,294283,294283,68
1952,47,TN,pre_bridge,446147,443710,889857,892555,95
1952,48,TX,pre_bridge,1102818,969227,2072045,2075885,254
1952,49,UT,pre_bridge,194190,135364,329554,329554,29
1952,50,VT,pre_bridge,109717,43299,153016,153501,14
1952,51,VA,pre_bridge,345730,265871,611601,613565,126
1952,53,WA,pre_bridge,599107,492845,1091952,1102708,39
1952,54,WV,pre_bridge,419970,453578,873548,873548,55
1952,55,WI,pre_bridge,979744,622175,1601919,1607370,71
1952,56,WY,pre_bridge,81049,47934,128983,129253,23
1956,01,AL,pre_bridge,195694,279502,475196,495346,67
1956,04,AZ,pre_bridge,176990,112880,289870,290173,14
1956,05,AR,pre_bridge,186287,213277,399564,406572,75
1956,06,CA,pre_bridge,3027668,2420135,5447803,5466358,58
1956,08,CO,pre_bridge,394479,263997,658476,663074,63
1956,09,CT,pre_bridge,711837,405079,1116916,1116916,8
1956,10,DE,pre_bridge,98057,79421,177478,177988,3
1956,12,FL,pre_bridge,643849,480371,1124220,1125762,67
1956,13,GA,pre_bridge,222778,444688,667466,669655,159
1956,16,ID,pre_bridge,166979,105868,272847,272989,44
1956,17,IL,pre_bridge,2631725,1775682,4407407,4407407,102
1956,18,IN,pre_bridge,1182811,783908,1966719,1974607,92
1956,19,IA,pre_bridge,729187,501858,1231045,1234564,99
1956,20,KS,pre_bridge,566878,296317,863195,866243,105
1956,21,KY,pre_bridge,572192,476453,1048645,1053805,120
1956,22,LA,pre_bridge,329047,243977,573024,617544,64
1956,23,ME,pre_bridge,249238,102468,351706,351706,16
1956,24,MD,pre_bridge,559738,372613,932351,932351,24
1956,25,MA,pre_bridge,1393197,948190,2341387,2348506,14
1956,26,MI,pre_bridge,1713647,1359898,3073545,3080468,83
1956,27,MN,pre_bridge,719302,617525,1336827,1340005,87
1956,28,MS,pre_bridge,60685,144453,205138,248104,82
1956,29,MO,pre_bridge,914289,918273,1832562,2092554,115
1956,30,MT,pre_bridge,154933,116238,271171,271171,56
1956,31,NE,pre_bridge,378108,199029,577137,577137,93
